prompt,completion
"Vacation wise, Egypt offers great places, amazing scenery, bright skies and good weather at a very good and affordable price for students.","joy
love
optimism"
@BBHOH #terrible Paul so deserved that win!!! #movie #ChildrenOfMen.\n\n#cages  #refugees,"anger
disgust
sadness"
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",anger
But i'll be a pity. 🐑 ,"disgust
pessimism
sadness"
How do u grieve someone who legally wasn't a person yet?,"disgust
sadness"
@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,"joy
love"
"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement","pessimism
sadness"
"gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies 🤘🏼","anticipation
joy
optimism"
Accept the challenges so that you can feel the exhilaration of victory.' - George S. Patton,"optimism
trust"
"@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?","anger
disgust
sadness"
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,"anger
disgust
sadness"
@inthefade going back to blissful ignorance?! ,"anger
disgust"
As a photographer this portrait shooting mode on the iPhone 7 Plus is going to frustrate me ~75% of the time but delight ~25% of the time.,"anger
disgust
sadness"
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,"anger
disgust"
"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.","anger
disgust"
can it stay gloomy but get cold pls,"optimism
sadness"
"People’s deepest passions often scare them too much to admit, even to themselves.",fear
"My best friend gets married in three days, I have replaced all my anxiety with an eeiry calm and cat cuddles.","fear
joy
optimism"
&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(,"fear
sadness"
"cluck cluck cluck, wolf wolf wolf , chirp chirp chirp is all I ever hear.",anticipation
Food that gets delivered 😍🙌🏻 #cheering #happy,"joy
optimism
surprise"
@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*,"anger
sadness"
@SueWallace78 peanut butter???? You some kinda pervert?? #awful,"anger
disgust"
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,"anger
disgust"
Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL,"joy
love"
"@yap_yip --an uncertainty. [Halsey teases, her lips curving into a jovial smirk.]","joy
optimism"
@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷,joy
I told myself i wouldn't talk about this but i need to bring it up. I'm slightly bitter about the tøp cover of cancer,"anger
disgust
sadness"
@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation,"anger
disgust
sadness"
not near my kitchen so unfortunately I cannot do a cooking snap series 🍳,sadness
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,"anger
disgust"
Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating,"anger
disgust
joy"
"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine","anger
fear
optimism"
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking","anger
disgust"
Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off  #NoWorkForMe,"anger
disgust
pessimism
sadness"
these confident bitches should scare you the most,"anger
disgust
fear"
Hey @gmail why can I only see 15 sent emails? Where's the thousands gone?  #panic,"disgust
fear
sadness"
I'm so confused by the new American horror story 😩,surprise
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂","anger
disgust
fear
joy"
@BraveHermione_ + and gives it to hear] 'Please.. I can tell you anything if you want to listen. maybe you're dont afraid anymore of me +,joy
Life izn't about pleasing each others...😕\n\n #hell #with ,"anger
disgust
sadness"
How do you ever stop being #afraid of someone that you live with,"fear
pessimism
sadness"
@FoxNews Yeah we're also experiencing terrorist attacks by Islam and #BlackLivesMatter at an alarming rate.,"anger
disgust
fear
sadness"
Clash of the titans and wrath of the titans 🙌🏾🙌🏾🙌🏾 🔥,joy
Okay~ #deepbreathes ☺️ we can do this @sydneyswans 💪🏻🔴⚪️ #cheer #cheer &amp; see you on the other side peeps ❤️ #AFLCatsSwans #ProudlySydney,"joy
optimism"
I'm just still . So happy .\nA blast,"joy
optimism"
@GrimsToyShow grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,"anger
disgust"
"@tcarrels  \nSo when exactly did you lose your mind, pal? \n #Trump #fraud #misogynist #liar #psychopath #narcissist  #conartist","anger
disgust
pessimism
sadness"
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,"disgust
fear
pessimism
sadness"
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz #shake,surprise
"life is hard., its harder if ur stupid #life #love #sadness #sadderness #moreofsad #howdoestears #whatislife","pessimism
sadness"
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ","optimism
pessimism"
*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline,"pessimism
sadness"
the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,"anticipation
joy"
"@pottermore : I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness...","pessimism
sadness"
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming","anger
disgust"
Wanted to get him a cake with sparkling candles but he doesn't like cake😒😒. Ruins everything,"anger
disgust
sadness"
"@Mc_Cabe_Conor This is it. The complete illiteracy around the role, nature and extent of British agents is shocking.","anger
disgust
surprise"
"@chenaidavid easy, breezy, beautiful rasta mon","joy
love
optimism"
"The labor of love is not cheap or inexpensive, it's the time spent earning it. #lackadaisical #dreamer","anticipation
love
sadness"
"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile","joy
love
optimism"
@YahooCare data stolen in 2014 and only now do you tell us .,"anger
disgust
fear
sadness"
"Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc","joy
optimism
trust"
@xiankiefer @TheLincoln Book 5! It's so sprightly &amp; fun cuz he'd been reinvigorated by the Harry Potter series. I'm not kidding.,"joy
optimism"
I want to pour all my tears on someone right now. So tired of this #upset #sad,"pessimism
sadness"
@SusannahSpot I could pop round ,"joy
optimism"
Watch this amazing live.ly broadcast by @brooks_swaggysquad #lively #musically,joy
@majesticmata didn't even realise you used that insult it was that shit mate,"anger
disgust"
"@AdamCimmering Boro are at the OS before then, they could give the stewards a good work out. Chelsea will get about 8k, will be lively.","disgust
joy"
the sad moment when u hand in an exam knowing u failed and grieve by eating and sleeping,"fear
pessimism
sadness"
I don't know what WiFi/ISP Rivertide Suites in Seaside #Oregon uses. But 53ms ping best I can get and a D/L test won't complete.. #terrible,"anger
disgust
fear"
@strong_bread dude we same fukc i lost my spectacles this morning.......,"disgust
sadness"
It's a beautiful day today. Cloudy but sunny and breezy.,"joy
love"
Halfway to work and I realize I forgot to put on underwear....It's going to be one of those days! #mombrain #toomuchgoingon #longday #breezy,"disgust
fear
sadness"
Always do sober what you said you'd do drunk. That will teach you to keep your mouth shut. \n― Ernest Hemingway #quote,"optimism
trust"
"All i want to do is to be successful, be cheerful and to be happy with @DominicHussein","joy
love
optimism"
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous","anticipation
fear
sadness"
@Nick_Offerman I'll be there!! Can't wait for all the #mirth!,"anticipation
joy"
"Says to my maw the other day, wanna day sober October way me, she says 'ave mer chance of doing movember son' #classicmoira #glasgow #sober","joy
optimism"
A wise man told me that holdin' a grudge is like\nLetting somebody just live inside of your head rent free,"anger
trust"
"@thenthapple Haha I like the optimism cause I'm the same, but it doesn't make this situation any less mind boggling.","disgust
joy
optimism"
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,"anger
disgust"
dread pitt,"anger
disgust
fear
sadness"
Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...,"anger
disgust"
induction day tomorrow for pizza express ,"anticipation
joy"
Shoutout to @VZWSupport for ruining my iPhone 7 order!! ,"anger
disgust"
I am their fury. I am their patience. I am a conversation.,"anger
joy
optimism"
I hate freaking out and ruining things. #anxiety,"anger
fear"
I'm tired of everybody telling me to chill out and everythings ok. no the fuck its not. I'm tired of faking a a fucking smile,"anger
anticipation
disgust"
What do you get when you cross an #apple tree and a #pine tree? 🍎🌲\nNothing. You can't cross-pollinate #deciduous and #coniferous #trees.,"anticipation
optimism"
Im so serious about putting words in my mouth bitch don't add ' the ' to my sentence if I didn't say that shit on bloods,"anger
anticipation
disgust"
"@jade0208 unfortunately the diet is still on, so they will have to wait till Friday I'm afraid.","fear
sadness"
Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops,"anger
anticipation
disgust"
The smell of freshly cut grass didn't even cheer me up...boy oh boy,"disgust
sadness"
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage,"anger
disgust"
A .500 season is all I'm looking for at this point. #depressing #royals,sadness
@CrystiCaro yeah agree - I think it was a family member and they covered up #sad,sadness
"With that draw, the scum must be rubbing their hands with glee! Typical draw for the Woolwich lot!!! #jammygunnerscum","anger
disgust
pessimism"
@kevinrouth Now that's what I call a gameface! #gameface ,"anticipation
joy"
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,"anger
disgust
fear
surprise"
Skipping meals is the national way of showing #disappointment and #anger. #wiz,"anger
sadness"
i am le depressed i l hate myself xDDdD #sad #depress #loner #emo,sadness
"@_jamiebraidwood haha, horrific is all that needs to be said. Glad I'm away to Spain on Sat so missing game 🍹🍕🍺☉☉","fear
joy"
Hoping to hear some serious @DonnieTrumpet tonight,"anticipation
joy
optimism
surprise"
Thank God she warned me before I walked to that sink cause lord knows I would've been sick to my stomach and would've wanted to sue lbvfs,"disgust
joy
optimism"
@chloemcaleese what a nightmare!,"fear
pessimism"
"@eliroth ya know I love ya man, but #TheGreenInferno really fucked with my head....(giggle)..do it again. #epic  #ineedtherapy","joy
love"
"While I was walking, a little boy in a red shirt(5/6 years of age) shouting from a distance of 3 meters, in a jovial manner saying...","joy
surprise"
Just saw lil homie @NICKMERCS rage on cam.  Weren't roids a thing in the late 90's or has it come back? I'm lost...,anger
#Drunk people annoy me when I'm #sober lol. | #fact #TeamFollowBack #RockTheReTweet,"anger
disgust"
Realizing that holding a grudge for long is immaturity is wisdom,"anger
joy
optimism"
"Be happy not because everything is good, but because you can see the good side of everything. #optimism","joy
optimism"
@clppng #offended the tonys have found a way to leave me out and now y'all have too,"anger
disgust"
the bee sting still suck i feel sick,"anger
sadness"
"That heart pounding, goosebumping nightmare experience! 😨 Woke up 3:00 in the morning with that scary, bad dream of mine. 😰","fear
pessimism"
Only person that could manage to get bright pink lipstick all over my brand new white dress 😩😂,"anticipation
disgust
joy
sadness
trust"
@ikhras @benglaze Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created ,"anger
disgust"
@POCX100 Please don't sulk over your defeat. Come on. Head up!,"anticipation
joy
optimism"
@BlizzHeroes I feel horrible dealing with 'players' in HotS. News on what you're doing about it? Getting stuck with uncooperative people!,"anger
disgust"
@YahooCare data stolen in 2014 and only now do you tell us #shocking.,"anger
disgust
surprise"
I am using twitter as a coping mechanism for raging out at this kid oops?,"anger
disgust"
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ,"anger
disgust"
"Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you, that really added that spark of positivity I needed today.","anger
optimism"
@Gibberman10 @ScottHoward42 any of y'all remember when MLB tried a futuristic jersey those were all ,"anticipation
joy"
"Honestly, there are some awful people on the internet... smh...","anger
disgust
sadness"
"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs","pessimism
sadness"
Idk if it's hella hot in here or I'm nervous,"anger
fear
sadness"
That moment of #panic when your zipper gets stuck when you're in the #bathroom and you realize the only way out of your jeans is #scissors,"fear
pessimism"
How a dad would feel knowing his daughter is getting dashed around for whines in the rave😭,"anger
disgust
sadness"
@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂,"anger
disgust
joy"
"me, myself, and I \n #horror movie alone again tonight maybe a #zombie would eat me and finish my life game already - i want #gameover","fear
pessimism
sadness"
No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,"anger
disgust"
@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,"joy
optimism"
"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.","anger
disgust"
Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN,joy
"@kole_holland don't fret, there's another game on at 8 #staytuned","joy
optimism"
@ManUtd Rooney needs to come off! Absolutely dreadful! 🙈🙈🙈 class goal from @carras16 @carras16 showing why he should be in the team!!,"anger
disgust
joy
sadness"
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,"anger
disgust"
Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile,"anger
disgust
pessimism
surprise"
It's unbelievable that security guard acting like a gangster trying 2 threaten me and tell me what to do with my own home. #terrify #annoy 😡,"anger
fear"
@chelseafc let them know it's the ,
Watch this amazing live.ly broadcast by @iamjustinburke #lively #musically,"anticipation
joy"
@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍,"joy
love"
remember when that guy got #angry that i kept saying gary sanchez was the best baseball player in the world... lmao,"anger
joy
optimism"
I love having such a big family. There's never a dull moment in my house 😂,"joy
love
optimism"
Unbelievable from McDavid and Matthews. Lundqvist can do nothing but shake his head #WCH2016,"anger
disgust
sadness
surprise"
Beyoncé resentment gets me in my feelings every time. 😩,"anticipation
joy
sadness"
these grown ass lil boys yeah i can't take them serious.,"anger
disgust
sadness"
in love with @BarberCeleste  insta!!!... #hilarious,"joy
love
optimism"
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious","anger
disgust
joy
sadness"
Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,"fear
sadness"
Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!,optimism
@wowairsupport it world be great if the live support was actually helpful ,"anger
disgust
joy"
@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,"anger
disgust"
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,fear
"Niggas never changed...even as a kid and a 29 year old, in his interviews, seems jovial and happy after death of his sister...he did it","anger
disgust"
Watch this amazing live.ly broadcast by @elise_awsome_11  #musically,"anticipation
joy
surprise"
@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.,"anger
anticipation
disgust
optimism"
Hey no turn over after a kick - way to go Texans!  Way to go! #Texans  #noheart,"anger
disgust"
Class is canceled due to a funeral. Not sure if it's appropriate to be happy or sad.. ,"joy
sadness"
People irritate my MF soul,"anger
disgust"
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear
Watch this amazing live.ly broadcast by @mrgummyking  #musically,"joy
love"
"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the ",
i wonder how gleeful it is to be dumb af and see the world through rose tinted glasses,"anger
anticipation"
@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !,"joy
optimism"
@LaurenBrierley2 sparkling water = death,"fear
pessimism"
Paranoia is a fear every races has,fear
The weather sure matches the mood in this state today.. #gloomy,sadness
"I polished my nails, but can't find the polish remover. It look like a 3yr old polished my nails lol #horrible","anger
disgust
sadness"
@SimonSSSJ123 @EllieG10853 @Onision @Eugenia_Cooney he sure as hell helped me with my depression and still does,"optimism
sadness
trust"
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',"disgust
pessimism
sadness"
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,"anticipation
disgust
surprise"
@TheSidEudy PS: I still think your broken leg against Scott Steiner was one of the most horrific injuries I've ever seen in the ring #ccot,"fear
sadness"
@Y2JaKe85 yessir. Also cheering for Sweden bc of Lundqvist,joy
I sulk too much for my own good.,"anger
joy
pessimism
sadness"
i can't believe they're all messing up my favourite of all bakes i feel personally offended,"anger
disgust"
"The two Brians, @BlackEyedNBlues &amp; @onthehorn500, also known as the Nigella Lawsons of #blues &amp; #pizza.",
I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend,"joy
love
optimism"
Donnie trumpeter is a vapid and vacant vile viper slithering through the landscape and playing on the gears of the fearful and afraid.,"anger
disgust
fear"
@andiymouse @jordana_brown @F1ghtCamp I'm sure he'll do just fine. He can always change to #beer or #cheer squad,"joy
optimism
trust"
So I survived spin....trying to get down the stairs was hilarious tho #jellylegs 😂😂,"joy
surprise"
@jessbr0ughton don't be shy next time! We're a cheery bunch. :) \n\nSam. X,"joy
optimism"
"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs","joy
optimism"
Watch this amazing live.ly broadcast by @brooke_bridges #lively #musically,"anticipation
joy"
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..","anticipation
fear"
Not sure if thats an accomplishment or something to worry about,"anticipation
fear"
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,"anger
disgust"
Does anyone remember a movie that is animated in the late 70's called Shame of the Jungle John Bulushi was in it wild if that's your taste,"anticipation
joy
love"
It's so gloomy outside. I wish it was as cold as it looked,"pessimism
sadness"
"GKN so lively as well, mad quick","joy
optimism"
Hate being sober so I popped two,"anger
disgust"
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house! ,"anger
anticipation"
Forgot to thank @_JusDee_ and @djolder for sharing @therealpeela's day-making #happy video.,"joy
optimism"
I'm much to full of resentment,"anger
disgust
sadness"
"The bowl on my new food processor broke, @Cuisinart. #sadness.",sadness
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry","anger
disgust"
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy
@BrianaBanksxoxo I send ya a few #playful nibbles 😉,joy
"Starting at 22 minutes, this week's @bestshow4life is straight-up paradigm shift level mirth.","anticipation
joy
love
optimism"
Don't get #bitter get #BETTER,"anticipation
optimism"
"@AliceGoodman17 i dunno, I'm getting less of the spacious lovely autumnal melancholy from our present apocalypse",pessimism
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,"joy
love
optimism"
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror","fear
pessimism"
Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues,"joy
optimism
trust"
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,"anticipation
joy
optimism"
15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga  #stretch,"joy
optimism"
"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger
What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,"anticipation
surprise"
no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,"anger
anticipation
disgust
joy"
81' Goal scorer Vidar Kjartansson comes off in favor of Dor Micha! Another terrific performance by @Vidarkjartans #YallaMaccabi,joy
We're all in D. T. (Discipleship training or detox) for something. #messy  #cutoff #choosefreedom #CryOut16,anticipation
I'm not use to getting up early asf this shit goin irritate me.,"anger
disgust"
@BoJackHorseman if your depressed and somebody calls you long faced will you still automatically take umbrage?,sadness
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness #terrible,"anger
disgust"
If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,"anger
disgust
sadness"
"#twitter #users Tweeting on twitter is like playing a game against the computer. Where's the life, Everyone too #afraid to say something?","disgust
fear
pessimism"
3:45am and off to the hospital! Elouise's waters have gone!  #Labour #LittleSister #superexcited,joy
"@tcarrels  \nSo when exactly did you lose your mind, pal? \n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist","anger
disgust"
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,"joy
love
optimism
trust"
What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,"anticipation
sadness
surprise"
Watch this amazing live.ly broadcast by @swagrman_fan  #musically,"anticipation
joy"
@NessaMatthews he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect.,"joy
love
optimism"
A 'non-permissive environment' is also called a 'battleground' - #MilSpeak ,"disgust
optimism"
one thing I can say is that you kept me smiling,"joy
love
optimism"
"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",
@thetwattickla @NottRihanna lol no it's sparkling wine,joy
@SheilaCustis We don't expect women to be violent &amp; discourage it. It's really about how we're raising our boys.,"anger
disgust
optimism
sadness
trust"
@PAULROVlA the first resulted in me angrily sobbing and ranting about finnick in the cinema,"anger
disgust
sadness"
Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz ,fear
It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable ,"anger
disgust
sadness"
I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper #happy #letsdance #dirtydancinginthemoonlight👌,"joy
love
optimism
surprise"
"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite","anger
disgust"
"#Pakistan is ‘terrorist state’, carries out #war crimes: #India to @UN.\n #UNGA  #UN","anger
disgust
fear"
@JustinTrudeau opened doors to terrorism and he will pay for it. @CP24 @globalnewsto,"anger
disgust
fear"
@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,"anger
disgust"
"😩😩😩😩 heads melted, very tired but can't sleep. ","anger
pessimism
sadness"
depress 😭,"pessimism
sadness"
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..","anticipation
optimism"
Punchline king is back! @Paedeezy 🔥🔥🔥🔥🔥🔥🔥💯💯💯 #bright city lights,"joy
optimism"
"...X, X... Do... you... hear... me? Darn... Your... optimism led... ...to your own... demise... ... You... should... li...live #ZeroBOT","anger
disgust
sadness"
@BlackToLive Good - cuz that's what Trump is: a fucken 'N'azi. Don King-u havnt sunk this low since u set up Mike Tyson. 2 pathetic Dons.,"anger
disgust"
@MillieetylerX I thought everyday was a glee day??,joy
"“The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy...”\nZephaniah 3:17","joy
optimism"
@thatsabingo grim really,sadness
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. ,"anger
disgust
sadness"
I feel like one of my friends brought this freshmen in my class over to pre game earlier in the year bc she keeps smiling at me,"joy
optimism"
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't #awful","anger
disgust
sadness"
You have a #problem? Yes! Can you do #something about it? No! Than why #worry,optimism
The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet .,"anger
disgust
sadness"
second episode of AHS 6 here i go ,"anticipation
joy"
@_JuliaSteiner : YES ! Right ? I mean I wish you hadn't been discouraged to see #MikeandMolly because so many parallels really -,"anticipation
disgust
sadness"
@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.,"pessimism
sadness"
Life long fear of havin a shit and a spider crawls up ya bum,"disgust
fear
sadness"
I take a strange delight from seeing mark Hughes struggle,"joy
optimism"
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,"anger
disgust"
When City Hall has the fire alarm go off and it's been 15 minutes and the fire department still isn't here,"anger
disgust
sadness"
@DsWorld18 did you hear it? Cause I am getting messages about the ground shaking,"anticipation
fear"
@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me #optimism #itsagunalright,optimism
@MaxiNutrition order 321073 parcel 15502922895987. #awful #customercare by @DPD_UK tried to view calling card online. black image #noshow,"anger
disgust
sadness"
@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,"anger
disgust
sadness"
@imDevinLopez happy bday bro! 👌🏻,"joy
love
optimism"
@aidankerrpol I think you should do. Get the fashion police involved. ,"anticipation
disgust
optimism"
"A MOMENT:\nIf you kill it in the spirit, it will die in the natural!!!'-@PRINCESSTAYE #murder #suicide  #racism #pride","anger
disgust
pessimism"
I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,"anger
disgust
sadness"
Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour,"anticipation
joy
optimism"
"236:416 While she was in her dull and sleeping hour,\nA crew of patches, rude mechanicals,\n#AMNDBots",pessimism
I can't even right now #bb18 ,"anger
disgust
sadness"
"ninaturner: Mine too. With what is happening in country, I needed this moment of levity bernblade LisaVikingstad","anticipation
sadness"
I'm just a fuming ball of anger today 🙃,"anger
disgust"
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,"anticipation
fear
surprise"
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,optimism
my husband lost £800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care #nightmare #airbnbnightmare,"anger
sadness"
@CP24 And I hope when the police met him at the subway that they took him straight to jail 😕 ,"anger
disgust
fear
optimism
sadness"
"@OddNMacabre One day I'm drinking a bottle of nyquil, the other I'm sleeping zero. My lovely #horror fam, which should i watch? 🎩","anticipation
fear
joy"
"6 might be a serious number, but 10 sounds better. Wild card race!!",anticipation
sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;,"anger
disgust
sadness"
Still salty about that fire alarm at 2am this morning.,"anger
disgust
sadness"
@realDonaldTrump negative campaign of doom and gloom don't win elections,"anger
disgust
pessimism"
@BitcoinBelle @pamelawjd Start mournful then kick into major key in last verse where good guys win? (Or just change words in existing song?),"pessimism
sadness"
All I want to do is watch some netflix but I am stuck here in class. #depressing,"pessimism
sadness"
@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet,sadness
I was literally shaking getting the EKG done lol 🙄,"fear
joy"
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,"anger
disgust"
Isaiah 40:31\nthose who trust in the Lord will find new strength.\nThey will soar high on wings like eagles.\nThey will run and not grow weary.,"joy
optimism
trust"
